Company,Details
3sixtydental,"Computer Guided Surgery, Medical Imaging"
ABM Egypt,"NLP, Social Media analytics, Search Engine optimization"
Adam.ai,"NLP, machine learning, embedded systems"
Advanced Intelligent Technologies,"Machine Learning, Deep Learning"
Advansy ESC,"Embedded Software, Big data, IoT"
Affectiva,"Machine learning, Deep learning, Computer vision, Speech(new project(s))"
Agolo,"NLP, ML, DL"
Aimtechnologies,"Data Science, Machine Learning"
Arqamfc,Analytics
Asas Alqarar,"Machine Learning, Deep Learning"
Atomica,"Machine Learning, Computer Vision"
Ave labs,"Deep learning, Machine learning techniques, Computer vision, Image Processing and Signal Processing, Control theory & Artificial Intelligence"
AvidBeam,"Machine learning, OCR, Computer vision, DL"
BBI-Consultancy,Data Science
Bee Smart Payment Solutions,"ML, Big Data"
blnk.ai,Machine Learning
Botitapp,"Data Science, NLP"
Bosta,"Data Analytics, Data Science"
Botme,"Chatbots, NLP"
Brightskies,"Machine Learning, Autonomous Driving"
Beltone,"Machine Learning, Finance"
Cammedar Health,Machine Learning
Cassbana,"Machine Learning, Deep Learning"
Cequens,"Predictive models, Machine Learning, Chatbots"
Cognitev,"ML, DL, Recommendation systems, IR (Information Retrieval), NLP (Natural - Language Processing)"
Comiot,"Iot, Computer vision, ML"
Converted.in,Machine Learning
Crowd Analyzer,"Big data, Machine learning, Social Media Analysis, Arabic in Social Media Analytics"
Cyshield,Data Science
Data Gear BI,"Data Mining, Business Intelligence(BI)"
Dataplusme,"Data Analytics, Data Science, Big Data Analytics, Data visualization"
Dell EMC,"Machine Learning, Big Data"
DevisionX,"Deep Learning, Computer Vision"
Digified,"Machine Learning, Computer Vision"
Digisay,"Machine Learning, Deep Learning"
DXWand,"Machine Learning, text and speech analytics, NLP, analytics services"
El menus,"Recommendation systems, NLP"
Elves,Chatbots
Ericsson,"Artificial Intelligence, Cognitive Networks, Machine Learning, Data Science"
Etisalat,"Machine Learning, Data Science"
Fixed Solutions,Data Science
Fruitful Solutions,"Deep Learning, Computer Vision"
Halan,"Data Analysis, Business Intelligence, Data Science"
Henkel,"Data Science, Business Intelligence"
Heuro Labs,"Artificial Intelligence, Cognitive Computing, Machine Learning, Big Data, Data Fusion and Data Mining"
IBM Egypt,"NLP(Watson practice team), ML, DL"
iHub,Machine Learning
Incorta,"Data Analytics, Business Intelligence"
Ingram Micro,"Data Science, Business Intelligence"
InnoVision Systems,"Robotics, computer vision"
Intouch,"Machine Learning, Deep Learning"
Itworx,Big Data
Intixel,"Machine Learning, Image Analysis"
Kazyon,"Data Science, ETL, Machine Learning"
Knowledge officer,information retrieval and text summarization for articles on the web. Based mainly for many NLP and recommendation systems
Koinz,Data Analysis
Khazna,Machine Learning
Lenme,Machine Learning
Lyra,Machine Learning
Mawdoo3,"Data Science, NLP"
Mendel.ai,"Artificial Intelligence in Medicine, Machine learning, OCR, NLP"
MerQ,"Chatbots, NLP"
Microsoft ATLc,"ML, DL, NLP, OCR, Speech, Search engines(Bing team)"
MobiDev,AI apps
Mwasalat Misr,"Data Analysis, Business Intelligence, Data Science"
Mahaseel,"AI ,ML , Image Processing, Computer Vision"
Nawy,"Data Science, Business Intelligence"
Optomatica,"Machine Learning, AI and Optimization solutions, Analytics"
Oracle,"Machine learning, Big data"
Orange Digital Centers,"ML, Data Science"
Orange,"ML, Big Data, Data Analytics"
Path Solutions,Big Data
Pegasus,"Data Analytics, BI"
Pixellion,"Image processing, Machine learning, Deep learning, Computer vision, image recognition in the retail industry"
Pianat.ai,"Finance, ML"
Raisa Energy,"ML, predictive modeling"
RDI,"Machine learning, Deep learning, Arabic/English OCR, Search engines, Information retrieval, Arabic/English NLP and Arabic/English speech recognition/identification"
Rology,"Computer Vision, Medical Image Processing, Machine Learning"
SadeemÂ®,IoT & Business Analytics
Scopic,Big Data
Seeloz,"Data analytics, ML"
Smart Medical Services,Machine Learning
Soho Square Solutions,"IR (Information Retrieval), ML, NLP (Natural - Language Processing)"
Speakol,"ML, DL, Big Data"
Stratochem,"Data analysis, Image processing, data mining"
SURE International Technology,"Machine Learning, AI"
Swvl,"Data Analysis, Business Intelligence, Data Science"
Synapse Analytics,"ML, Computer Vision"
Sypron,"Big Data, ML, DL, Computer vision, NLP, General AI apps"
TA Telecom,Big Data
tachyhealth,Machine Learning
Tactful,"Conversational Agents, NLU, DL, Information Retrieval"
Tensorgraph,"AI, Voice Recognition"
Teradata,"Big Data Analytics, machine learning and data mining"
The D. GmbH,"NLP, Chatbots, Computer Vision, Video Analysis"
The Procter & Gamble,Data Science
TPay Mobile,"Data Engineering, Data Analytics"
Tpay,Machine learning
Usy tech,NLP
Valeo,"ML, DL, reinforcement learning, Computer vision, Autonomous driving"
valify,Machine Learning
Vodafone,"Big data, ML"
Wakeb Data,"Business Intelligence, Data Analysis, Artificial Intelligence"
Wego,"Data analysis, Machine Learning, Recommendation Systems"
WideBot,"Chatbots, NLP"
Wuzzuf,"Machine learning, NLP(new project(s)), Search engines, Recommendation/Ranking systems and information retrieval"
Xtrava,"Machine learning, Deep learning, Signal processing"
Yaoota!,"Search engine, Big data, ML, NLP"
Z2data,Data Analytics
ztechnium,"Machine Learning, Recommendation Systems"
smarteye.se,"Machine Learning, Computer Vision"
bydotpy,Machine Learning
Lumin,"Machine Learning, Computer Vision"
Giza Systems,Machine Learning
datagearbi,Machine Learning
Sprints AI,The first tech-focused guaranteed-hiring learning programs in MEA
BasicsEngage,AI-Powered Marketing Automation Platfrom
LEAXON,LEAXON is an online learning platform that offers courses & consultations.
ONVISION,Research-Driven Innovations Based On Vision
Plan A interior design,Plan A is one-stop-shop design platform that helps you design your home.
Shahrzad,Magical storyteller in your hand
Humachina,A Human-Centered A.I. startup to reinvent the way people learn and perform
creatokids,artificial intelligence educational app as smart English tutor anytime 
Visual and AI Solutions (VAIS),Developing AI-Powered Solutions for Climate Crisis Mitigation
Rafiq - Arabic Virtual Assistant,"Colloquial Arabic CallBot, Acting as a first-line for Contact Centers"
GPTs,GPTs is One-Stop AI Assistant in for multiple Services .
SocialSensei.ai,Accurately predict influencer marketing campaigns prior to execution
Seen tech,Intelligent Video Analytics
WideBot,Empowers businesses to build smart chatbots that speak MENA language.
Daft Art,Create the album cover you've always dreamed of
E-sorus,A B2B Platform for sourcing interior and Architecture materials 
 Deeper Insights,Machine Learning 
 Yalantis,Machine Learning 
Supaapps GmbH,Machine Learning 
 SmartTech,Machine Learning 
Transatlantic Technology and Services,Machine Learning 
SudoTechs,Machine Learning 
zTechnium,Machine Learning 
Cool Pool Studio - Muhamed Gabal,Machine Learning 
Systems Limited,Machine Learning 
